objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit,exhibitionlabel
CMCH_1991-199-0,CMCH_1991.199.0,,,"Encampment in City Park (now Bushnell Park), Hartford",R.S. DeLamater,1866,"Group of men gathered around a tepee-style tent. A covered wagon drawn by a white horse is at the left. The men wear straw hats. Some sit on bedrolls. Some hold tin cups or have cups suspended from their belts. Two hold rifles. A bucket is on the grass in the center. In the background, beyond a pond, the buildings of downtown Hartford, including the spire of Center Church, are visible.",Cultural; Arts; Visual Arts; Photography; Built Environment; Environmental; Landscape Architecture; Social; Class; Identiity,R.S. DeLamater,,,,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:17689,CMCH_1991.199.0,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,
CMCH_1991-60-2,CMCH_1991.60.2,,,"Cincinnatus Anthony Taft, M.D.",unknown,before 1884,Bust-length portrait of an older man with brown eyes and a full gray beard. The man is wearing a pin. The miniature is in an oversized ivory in metal brooch.,Social;Identity; Cultural; Arts; Visual Arts; Painting,"Cincinnatus Anthony Taft, M.D.",,,,Connecticut Museum of Culture and History https://emuseum.chs.org/emuseum/objects/17204/cincinnatus-anthony-taft-md;jsessionid=97CCBF3FB6689713E4B4A0DCC2AFED7F?ctx=c47a950662f3e509656a533453baa92de5cb5e53&idx=0,CMCH_1991.60.2,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"Connecticut Museum of Culture and History collection,Bequest of Robert H. Schutz, Jr.",
CMCH_1991-60-2,CMCH_1991.60.2,,,"Cincinnatus Anthony Taft, M.D.",unknown,before 1884,,,,,,,CMCH_1991.60.2,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Image courtesy of Connecticut Museum of Culture and History collection,Bequest of Robert H. Schutz, Jr.",,
CMCH_1994-249-0,CMCH_1994.249.0,,,Hartford Train Station,Unknown,after 1843,,,,,,,CMCH_1994.249.0,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of The Connecticut Museum of Culture and History,,
CMCH_1995-36-416,CMCH_1995.36.416,,,Hartford Fire Department Softball Team,William G. Dudley,,"Group of thirteen men and a boy posed in front of the Corning Fountain in Bushnell Park. The Connecticut State Capitol Building is in the background. Ten of the men are dressed in baseball uniforms, another in a business suit. Two men are in Fire Department uniforms. The man on the right is the Hartford Fire Chief, John C. Moran. There is baseball equipment on the ground, including bats, gloves and catcher's equipment.",Cultural; Arts; Visual Arts; Photography; Built Environment; Environmental; Landscape Architecture; Social; Class; Identiity; Clubs/Organizations; Sports & Recreaction; Athletics,William G. Dudley; John C. Moran,"Corning Fountain, Bushnell Park, Hartford, CT ",41.76664913,-72.68103476,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:14002,CMCH_1995.36.416,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,
CMCH_2000-171-31,CMCH_2000.171.31,,,"Gold Street from Wells and Lewis Streets, Hartford.",Warner Photo Company,before 1899,View of Gold Street before it was widened in 1889. The First Congregational Church steeple visible in the background. Snow is on the ground.,Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Architecture,Warner Photo Company,"Corner of Gold, Wells, and Lewis Streets",41.764333,-72.675667,Connecticut Museum of Culture and History https://emuseum.chs.org/emuseum/objects/21499/gold-street-from-wells-and-lewis-streets-hartford?ctx=83cfcaa7be66896ff77b23667b7f0a11880e5966&idx=7,CMCH_2000.171.31,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,
CMCH_2000-171-51,CMCH_2000.171.51,,,"Old State House (City Hall) and junction of Main Street and Central Row, Hartford",unknown,1911,"The Old State House, a federal style brick government building, has a pediment, an iron balcony, a balustrade on the roof and urns at the corners of the central pavilion. Arched entrances are on the ground floor. There is a clock in the cupola and a sculpture of a figure of Justice stands on the dome. American flags fly from flagpoles on several rooftops. The stone beaux-arts Federal building is immediately to the right. A corner of the American Hotel is visible in the right background. The Old State House is surrounded by grassy lawns and leafless trees. Most trees appear to be elms. Trolley tracks are in the paved streets. Men and women walk on the streets and sidewalks. Automobiles, horse-drawn carriages and wagons are in the streets and parked along Central Row at the right. Utility poles, trolley poles and fire hydrants are on the sidewalks. Trolley cars are on State Street in the background. Commercial buildings in the left background have awnings. Inscribed on back: ""Taken in 1911.""",Cultural; Arts; Visual Arts; Photography; Economic; Business; Consumer; Industry; Political; Environment; Built Environment; Buildings/Architecture; Civil engineering,,"State House Square, Hartford, CT",41.76647725,-72.67232611,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:19333,CMCH_2000.171.51,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,"The Federal Building in City Hall Square housing the Post Office was begun in 1873 and completed in 1883. Also known as the Government Building. The Old State House, erected in 1796 to the designs of Charles Bulfinch, served as one of Connecticut's two state capitols until 1878 when it was replaced by the current Capitol Building. From 1878 to 1915, it served as Hartford's city hall."
CMCH_2000-171-51,CMCH_2000.171.51,,,"Old State House (City Hall) and junction of Main Street and Central Row, Hartford",unknown,1911,,,,,,,CMCH_2000.171.51,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Connecticut Museum of Culture and History collection,,
CMCH_2000-174-7,CMCH_2000.174.7,,,"Printing-office and book-bindery of the Case, Lockwood & Brainard Co., 49 Trumbull Street, Hartford",Unknown,c. 1870,"Large industrial building with a mansard roof with dormers. Two men stand in the doorway. Two women walk on the sidewalk in front of the building. A horse-drawn wagon is at the right. Letterpress text beneath image: ""Printing-Office and Book-Bindery of the Case, Lockwood & Brainard Co.""",Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; ,Newton Case;  Leverett Brainard; James Lockwood,Corrner of Pearl & Trumbull,41.76635,-72.67592,The Connecticut Museum of Culture and History; http://hdl.handle.net/11134/40002:18540,CMCH_2000.174.7,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,
CMCH_2000-174-7,CMCH_2000.174.7,,,"Printing-office and book-bindery of the Case, Lockwood & Brainard Co., 49 Trumbull Street, Hartford",Unknown,c. 1870,,,,,,,CMCH_2000.174.7,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Connecticut Museum of Culture and History collection,,
CMCH_2000-188-49,CMCH_2000.188.49,,,"Flood of 1936: Bushnell Park and State Capitol, Hartford",Unknown,1936,"Floodwaters from the Park River in the foreground engulf Bushnell Park. The dome of the Connecticut State Capitol is in the right background. Leafless trees, apparently elms, are reflected in the water. Automobiles are on the bridge leading to the Soldiers and Sailors Monument. Utility poles and wires line the street. Inscribed on back: ""Trinity Street"" ""1936 Flood - Hartford.""",Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Architecture; Landscape Architecture;  Natural Events; Climate/Weather,,,,,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:14810,CMCH_2000.188.49,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,
CMCH_2000-197-36,CMCH_2000.197.36,,,"Turkish room at Allyn House, 152 Asylum Street, Hartford",Unknown,c.1900,"Interior of a hotel room or lounge. An oriental rug is on the floor. A tablecloth is on a table at the right and a bedspread and throw pillows are on a bed at the left. Fans, drapes and a braided cord hang above the bed. Three arts and crafts style chairs are near the table. Wallpaper covers part of the walls. A bas-relief and prints of Native Americans hang on the walls and rest on a molding. The head of an Indian chief is painted on what appears to be an animal skin. A rifle with a bayonet and a bugle hang nearby. Window shades are at the windows. A light fixture hangs from the ceiling. Inscribed on back: ""Turkish room at / Allyn House.""",Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Buildings/Architecture; Civil Engineering,,"Allyn House, corner of Asylum and Trumbull Streets, Hartford, CT",41.76729993,-72.67591446,The Connecticut Museum of Culture and History; http://hdl.handle.net/11134/40002:18749,CMCH_2000.197.36,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,
CMCH_2000-197-37,CMCH_2000.197.37,,,"Allyn House, corner of Asylum Street and Trumbull Street, Hartford",Unknon,c. 1870-1889,"Four-story brownstone Italianate hotel building with quoins at the corners of the projecting center bays, a heavy cornice and cast iron balconies on the second floor. Letters above the arched entrance read: ""Allyn House."" Striped awnings are above some windows. Signs read: ""Cigars"" ""Charles Avery"" ""Boots & Shoes"" ""Hartford Optical Co. / Protected / Spectacles Eye Glasses"" ""City Optical Establishment / Spectacles Eye Glasses"" ""Sykes & Newton Apothecaries Drugs Medicines & Chemicals"" ""Mineral / Waters / Foreign / and / American"" ""Surgical / Instruments."" One sign is in the shape of a horseshoe, another in the shape of eyeglasses. The striped poles at far right probably indicate a barbershop. Striped poles are at the street corner on either side of the street. A sign on one pole reads: ""Baths."" A street lamp is atop this pole. Trolley tracks are in the street and wires are overhead. Pedestrians, blurred from movement, are on the sidewalk. Two horse-drawn vehicles, probably cabs, are outside the hotel entrance.",Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Buildings/Architecture; Civil Engineering,,"Allyn House, corner of Asylum and Trumbull Streets, Hartford, CT",41.76729993,-72.67591446,The Connecticut Museum of Culture and History; http://hdl.handle.net/11134/40002:18750,CMCH_2000.197.37,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection," The Allyn house was the finest hotel in Hartford when constructed in 1857. It was designed by Octavius J. Jordan and was located near the railroad station. It was demolished in 1960. William T. Stevens was the proprietor of the Hartford Optical Co. Charles Avery sold boots and shoes at 148 Asylum Street. E.S. Sykes and P.W. Newton were the partners in Sykes & Newton, apothecaries, 142 Asylum Street."
CMCH_2000-197-37,CMCH_2000.197.37,,,"Allyn House, corner of Asylum Street and Trumbull Street, Hartford",Unknon,c. 1870-1889,,,,,,,CMCH_2000.197.37,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of The Connecticut Museum of Culture and History,,
CMCH_2000-197-4,CMCH_2000.197.4,,,"Case, Lockwood & Brainard employees, 141 Pearl Street, Hartford",Unknown,1895,"Group of men and a boy stand on the steps of the corner entrance to a brick office / industrial building. Most men wear suits and hats. Two men wear aprons. One man wears a checked shirt. Signs on the building read: Established 1836 / Case, Lockwood & Co."" ""Case, Lockwood / & / Brainard / Printers."" Some men are identified as follows on the back of another copy of the photograph: ""1. James Mumford, forwarder / 6. 'Red' office boy / 8. Patrick Carr, Paper ruler / 10. Chas. Lynch - Engineer / 11. Emil Eitel / 12. Chas. E. Beebe - Salesman / 16. John Coughlin / 17. M. Day - foreman / 18. Ernest Miller - Bookkeeper / 20. Ernest Mason - foreman / 21. W.J. Parker - Diary Dept. / 22. T. Coleman.""",Social; Identity; Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; ,Newton Case;  Leverett Brainard; James Lockwood; James Mumford; Patrick Carr; Charles Lynch; Emil Eitel; Charles E. Beebe; John Coughlin; M. Day; Ernest Miller; Ernest Mason; W.J. Parker; T. Coleman,Corrner of Pearl & Trumbull,41.76635,-72.67592,The Connecticut Museum of Culture and History; http://hdl.handle.net/11134/40002:18726,CMCH_2000.197.4,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,
CMCH_2000-199-1,CMCH_2000.199.1,,,"Children sledding, Bushnell Park, Hartford",Unknown,,Group of boys with sleds on the hill near the State Capitol building (not visible in this picture). They wear hats with earflaps or knit caps and jackets and pants or knickers. A dog is in the center of the group. Snow is on the ground. The Park River and buildings along Jewell Street are in the background.,Cultural; Arts; Visual Arts; Photography; Built Environment; Environmental; Landscape Architecture; Social; Identiity; Sports & Recreaction; Athletics; Leisure,,"Bushnell Park, Hartford, CT ",41.76454335,-72.6772406,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:18990,CMCH_2000.199.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,
CMCH_2000-206-15,CMCH_2000.206.15,,,Employees in front of C.L. Kellogg grocery store,Unknown,c.1890,"Five men pose in front of a store with a sign that reads: ""C.L. Kellogg."" All wear hats. One man has a beard, another a mustache. Produce and canned goods are displayed in the shop windows and in boxes and baskets in front of the store. Asparagus, beans, cabbages, cucumbers, cauliflower, squash and turnips are visible. An Easter lily is in the window and pansy plants are on the sidewalk. Lamps are also displayed in the window as if for sale. A barrel and three large cans are also on the sidewalk, which appears to be made of wooden planks. An awning is draped over the entrance. Buildings on the opposite side of the street are reflected in the shop windows.",Cultural; Arts; Visual Arts; Photography; Economic; Labor; Business; Industry; Grocer,C. L. Kellogg,,,,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:18678,CMCH_2000.206.15,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,
CMCH_2000-206-18,CMCH_2000.206.18,,,"W. Bacon meat market, 170 Main Street, Hartford",Unknown,1860-1869,"Group of men stand in front of two-story frame commercial buildings, possibly with residential apartments on the upper floors. Signs read: ""170 W. Bacon / Meat Market"" ""Hayes & Roberts / 173 Meat Market 175."" The business on the left appears to be a barbershop. A sign reads: ""Hair oils.""",Cultural; Arts; Visual Arts; Photography; Economic; Business; Consumer; Industry; Labor; Grocer;,,,,,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:18679,CMCH_2000.206.18,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,"W. Bacon meat market appears in Hartford directories in the 1860s. However, Hayes & Roberts does not appear."
CMCH_2000-206-3,CMCH_2000.206.3,,,"Corner of Ann Street and Asylum Street, Hartford",Unknown,1895,"Group of commercial buildings at a busy street corner. Several buildings have striped awnings. Signs read: ""East India Pale Ale... Fresh Ales a Specialty... Bass Ales..."" ""Cigars"" ""...Ruppert's / Lager Beer / New York."" Utility poles line the street. A fire hydrant is on the corner. Men, blurred from movement, cross the street and ride bicycles. A horse and carriage ? approach from far left. Street signs on an ornate pole read: ""Ann St."" ""Asylum St."" Broadsides and posters are on a wall at far right. Some of the brick buildings in the background may contain residences.Inscribed on back: ""North east corner of Ann Street and Asylum Street, formerly Tower Hill Street, showing Thomas Chester's House, afterwards the residence of Bishop Brownell.""",Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Buildings/Architecture; Civil Engineering,,"284 Asylum Street, Hartford, CT",41.76778256,-72.67821568,The Connecticut Museum of Culture and History; https://emuseum.chs.org/emuseum/objects/25688/corner-of-ann-street-and-asylum-street-hartford?ctx=6ffff07e859b6f4ad326a10c96427a4b002980a5&idx=63,CMCH_2000.206.3,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,"In the 1870s-1890s the American Publishing Company was located at 116 Asylum Street, near the corner fo Asylum and Ann Streets. (Today that address would match with 284 Asylum.). This photogrpah shows one corner of Ann and Asylum Streets in 1895."
CMCH_2000-209-11,CMCH_2000.209.11,,,"Circus parade, corner of State Street and Main Street, Hartford",Unknown,1885-1890,"Ornate horse-drawn circus wagons and men on horseback turn from State Street onto Main Street. Spectators crowd the sidewalks and the windows and ledges of buildings. Men in derby hats crowd the top of a horse-drawn omnibus or stagecoach in the foreground. A bucket and what appears to be a wine bottle in a woven container are also on the roof of the vehicle. Two men perch on a lamp pole near what appears to be a gaslight. Utility poles line the street. A large clock is on the right. Many commercial buildings have awnings. Some have signs that read: ""State Bank"" ""Connecticut River Banking"" ""Geo. W. Moore / & Co. / Mortgage Loans."" Inscribed on back: ""Circus Parade / from corner of State & Main Sts. / bet. Pearl & Asy. St. / Hartford.""",Cultural; Arts; Visual Arts; Photography; Social; Memory & Commemoration; Parade,,"State House Square, Hartford, CT",41.76647725,-72.67232611,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:19027,CMCH_2000.209.11,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut Museum of Culture and History collection,
CMCH_2000-209-11,CMCH_2000.209.11,,,"Circus parade, corner of State Street and Main Street, Hartford",Unknown,1885-1890,,,,,,,CMCH_2000.209.11,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Connecticut Museum of Culure and History collection,,
CMCH_2002-109-21,CMCH_2002.109.21,,,Portrait of Edwin P. Kellogg,Van Houten,,"Several studio portraits of men, women, and a small baby. One man wears a hat and holds a can while leaning on a photographer's balustrade prop. A woman with a bustled dress leans on the back of a chair. The baby wears a long dress or gown. Another image shows a woman wearing a large bow in her hair standing next to a man with a watch chain. Another man is seated in a chair, with one arm leaning across the back.",Social; Identity; Cultural; Arts; Visual Arts; Photogrpahy; ,Edwin P. Kellogg; Van Houten,,,,Connecticut Museum of Culture and History https://emuseum.chs.org/emuseum/objects/3199/miscellaneous-portraits?ctx=c4bb443ad1527b3dcbeef33a36c22d44ee409c54&idx=6,CMCH_2002.109.21,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"Connecticut Museum of Culture and History, Gift of Dina Jorge","Edwin Pomeroy Kellogg was born in West Springfield, Massachusetts on 24 November 1830. On 7 September 1852, he married Ann Maria Greenleaf of Rockville, Connecticut. She died on 23 January 1864 and on 5 October 1865, he married Emma Maton Gwillin of Hartford. In March 1860, he had moved to Hartford and opened a business as a photographer and dealer in art materials in partnernship with his brother, Julius Augustus. Julius Augustus Kellogg was born in West Springfield, Massachusetts on 7 October 1834. He married Abigail Jane Helme of Providence, Rhode Island on 19 December 1865. At about the time of this marriage, his partnership with his brother Edwin was dissolved and he became a furniture dealer. Edwin subsequently became a dealer in pictures and frames. Julius Augustus Kellogg died in Hartford on 11 December 1901. During his long career, he had several associates, including William K. Kellogg, Albert L. Butler, and Edmund Dart. Edwin and Julius Kellogg were not closely related to the Hartford lithographers with the same last name."
CMCH_2002-109-21,CMCH_2002.109.21,,,Portrait of Edwin P. Kellogg,Van Houten,,,,,,,,CMCH_2002.109.21,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Image courtesy of Connecticut Museum of Culture and History, Gift of Dina Jorge",,
CMCH--1969-20-1-199,CMCH--1969.20.1.199.tif,,,"Morgan G. Bulkeley at his desk, Aetna Life Insurance Company, 650 Main Street, Hartford",,c. 1890-1899,,,,,,," Kevin Mac Donnell, Austin, Texas",CMCH -1969.20.1.199,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Connecticut Museum of Culure and History collection,
CMCH-1979-46-1,1979.46.1-CMHC.jpg,,,"The Chinese College, Hartford, Connecticut",Theodore R. David and William Allen Rogers,05/18/1878,,,,,,,"Connecticut Museum of Culture and History Collection, Museum purchase ",CMCH 1979.46.1,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Connecticut Museum of Culture and History Collection,
Compositor-drawing--622,Compositor-drawing--622.jpg,,,Paige Compositor,,,,,,,,,The Mark Twain House & Museum,Compositor drawing -622,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
Conservatory--1-Groo-2011,Conservatory.jpg,,,Conservatory,John Groo,2011,,,,,,,The Mark Twain House & Museum,Conservatory -1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. ,
Courant_02031873,Hartford_Courant_Mon__Feb_3__1873_--1-.jpg,,,Father Hawley's Acknowledgement,Hartford Courant,02/03/1873,,,,,,,Newspapers.com ,Courant_02031873,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Clipping from Newspapers.com ,
"Crane,-Susan--1",Crane-Susan-1.tif,,,Susan Crane,,,,,,,,,The Mark Twain House & Museum,"Crane, Susan -1",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
CSL_PG400-01,CSL_PG400-01,,,Central Row,Unknown,late 1800s,,Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; Consumer; Transportation,,"Central Row, Hartford, CT",41.76584964,-72.67258251,Connecticut State Library http://hdl.handle.net/11134/30002:720096122,CSL_PG400-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"Connecticut State Library, Hartford Collection of Photographs PG 400","Central Row, Hartford, Late 1800s"
CSL_PG400-01,CSL_PG400-01,,,Central Row,Unknown,late 1800s,,,,,,,CSL_PG400-01,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Connecticut State Library,,
CSL_sa_20120323_01_0045,CSL_sa_20120323_01_0045,,,"Case, Lockwood & Brainard Co. Building",William H. Lockwood,March 1880,"The Case, Lockwood & Brainard Co. Building which was located at the intersection of Pearl Street and Trumbull Street at 141 Pearl Street.",Economic; Industry; Printing; Cultural; Arts; Visual Arts; Photogrpahy; environmental; Climate/weather,Newton Case;  Leverett Brainard; James Lockwood; James Mumford; Patrick Carr; Charles Lynch; Emil Eitel; Charles E. Beebe; John Coughlin; M. Day; Ernest Miller; Ernest Mason; W.J. Parker; T. Coleman,Corrner of Pearl & Trumbull,41.76635,-72.67592,Connecticut State Library; http://hdl.handle.net/11134/30002:22192180,CSL_sa_20120323_01_0045,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Connecticut State Library,
"Decorators-Misc---Colman,-Samuel",Samuel-Colman--4.tif,,,Samuel Colman,,,,,,,,,The Mark Twain House & Museum,"Decorators Misc.- Colman, Samuel",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Mrs. Emmet N. O'Brien",
Decorators-Misc--Associated-Artists-1879-1883--11,Decorators-Misc.-Associated-Artists1879-1883--11.jpg,,,The Veterans' Room,Scribner's Vol. XXII,1879-1883,,,,,,,The Mark Twain House & Museum,Decorators Misc. Associated Artists 1879-1883 -11,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
Dining-Room--1-Groo-2011,Dining-Room--1-Groo-2011.jpg,,,Dining Room ,John Groo,2011,,,,,,,The Mark Twain House & Museum,Dining Room -1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. ,
Drawing-Room--1-Groo-2023,Drawing-Room--1-Groo-2023.jpg,,,Drawing Room ,John Groo,2023,,,,,,,The Mark Twain House & Museum,Drawing Room -1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. ,
DTC-001-Bike,DTC-001-Bike,,,Samuel Clemens on Bicycle. ,,,,Cultural; Arts; Visual Arts; Drawing; Sports & Recreaction; Athletics; Leisure,,,,,Dave Thomson Collection,DTC-001-Bike,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Dave Thomson Collection,Samuel Clemens on Bicycle. Composite photo from the Dave Thomson collection. 
